events count, average value,lower bound - 0.3, upper bound - 0.3, timeSpent
242,5455.30808081,3818.71565657,7091.90050505,953
243,5458.81265823,3821.16886076,7096.4564557,954
244,5429.86563877,3800.90594714,7058.8253304,962
245,5455.17258883,3818.62081218,7091.72436548,962
246,5456.40458015,3819.48320611,7093.3259542,963
247,5445.2372449,3811.66607143,7078.80841837,963
248,5456.40920716,3819.48644501,7093.33196931,971
249,5454.41538462,3818.09076923,7090.74,1020
250,5452.49871465,3816.74910026,7088.24832905,1024
251,5444.11597938,3810.88118557,7077.3507732,1032
252,5426.84381339,3798.79066937,7054.8969574,1032
253,5433.43927649,3803.40749354,7063.47105943,1032
254,5438.01554404,3806.61088083,7069.42020725,1032
255,5447.58701299,3813.31090909,7081.86311688,1033
256,5439.97395833,3807.98177083,7071.96614583,1033
257,5453.30809399,3817.3156658,7089.30052219,1033
258,5449.18324607,3814.42827225,7083.9382199,1033
259,5460.1023622,3822.07165354,7098.13307087,1033
260,5451.87368421,3816.31157895,7087.43578947,1033
261,5464.40369393,3825.08258575,7103.72480211,1033
262,5463.55026455,3824.48518519,7102.61534392,1035
263,5473.66047745,3831.56233422,7115.75862069,1040
