Buildfile: /home/chamod/Softwares/wso2/wso2das-3.1.0/samples/cep/consumers/wso2-event-consumer/build.xml

init:

compile:
    [javac] /home/chamod/Softwares/wso2/wso2das-3.1.0/samples/cep/consumers/wso2-event-consumer/build.xml:87: warning: 'includeantruntime' was not set, defaulting to build.sysclasspath=last; set to false for repeatable builds
     [copy] Copying 1 file to /home/chamod/Softwares/wso2/wso2das-3.1.0/samples/cep/consumers/wso2-event-consumer/temp/classes

run:
     [echo] Configure optionally use -DelapsedCount=xxxx -Dprotocol='thrift/binary' -Dhost=xxxx -Dport=xxxx
     [echo]             -DcalcType='throughput/latency'
     [echo]         
     [java] Shutdown hook added.
     [java] PUNCTUATION SERVER started................
     [java] Unable to determine dialect of the StAX implementation at jar:file:/home/chamod/Softwares/wso2/wso2das-3.1.0/repository/components/plugins/axiom_1.2.11.wso2v11.jar!/
     [java] SLF4J: Class path contains multiple SLF4J bindings.
     [java] SLF4J: Found binding in [jar:file:/home/chamod/Softwares/wso2/wso2das-3.1.0/repository/components/plugins/slf4j.log4j12_1.7.13.jar!/org/slf4j/impl/StaticLoggerBinder.class]
     [java] SLF4J: Found binding in [jar:file:/home/chamod/Softwares/wso2/wso2das-3.1.0/repository/components/plugins/slf4j.log4j12_1.7.21.jar!/org/slf4j/impl/StaticLoggerBinder.class]
     [java] SLF4J: See http://www.slf4j.org/codes.html#multiple_bindings for an explanation.
     [java] Thrift Server started at localhost
     [java] Thrift SSL port : 7761
     [java] Thrift port : 7661
     [java] Test Server Started
     [java] user admin connected
     [java] Event: count : 147, avgHumidity : 5496.578231292517, timeSpent : 96
     [java] Event: count : 162, avgHumidity : 5535.432098765432, timeSpent : 104
     [java] Event: count : 164, avgHumidity : 5534.341463414634, timeSpent : 104
     [java] Event: count : 163, avgHumidity : 5534.98773006135, timeSpent : 104
     [java] Event: count : 169, avgHumidity : 5585.236686390533, timeSpent : 104
     [java] Event: count : 161, avgHumidity : 5544.11801242236, timeSpent : 105
     [java] Event: count : 160, avgHumidity : 5567.48125, timeSpent : 105
     [java] Event: count : 159, avgHumidity : 5587.169811320755, timeSpent : 105
     [java] Event: count : 158, avgHumidity : 5559.727848101265, timeSpent : 106
     [java] Event: count : 157, avgHumidity : 5548.350318471337, timeSpent : 107
     [java] Event: count : 156, avgHumidity : 5527.025641025641, timeSpent : 108
     [java] Event: count : 155, avgHumidity : 5551.832258064516, timeSpent : 109
     [java] Event: count : 154, avgHumidity : 5547.571428571428, timeSpent : 110
     [java] Event: count : 153, avgHumidity : 5555.098039215686, timeSpent : 110
     [java] Event: count : 152, avgHumidity : 5537.184210526316, timeSpent : 113
     [java] Event: count : 151, avgHumidity : 5510.324503311258, timeSpent : 113
     [java] Event: count : 150, avgHumidity : 5494.826666666667, timeSpent : 114
     [java] Event: count : 149, avgHumidity : 5468.234899328859, timeSpent : 114
     [java] Event: count : 148, avgHumidity : 5502.216216216216, timeSpent : 114
     [java] Event: count : 198, avgHumidity : 5553.353535353535, timeSpent : 114
     [java] Event: count : 197, avgHumidity : 5543.467005076142, timeSpent : 115
