Buildfile: /home/chamod/Softwares/wso2/wso2das-3.1.0/samples/cep/consumers/wso2-event-consumer/build.xml

init:

compile:
    [javac] /home/chamod/Softwares/wso2/wso2das-3.1.0/samples/cep/consumers/wso2-event-consumer/build.xml:87: warning: 'includeantruntime' was not set, defaulting to build.sysclasspath=last; set to false for repeatable builds
    [javac] Compiling 1 source file to /home/chamod/Softwares/wso2/wso2das-3.1.0/samples/cep/consumers/wso2-event-consumer/temp/classes
     [copy] Copying 1 file to /home/chamod/Softwares/wso2/wso2das-3.1.0/samples/cep/consumers/wso2-event-consumer/temp/classes

run:
     [echo] Configure optionally use -DelapsedCount=xxxx -Dprotocol='thrift/binary' -Dhost=xxxx -Dport=xxxx
     [echo]             -DcalcType='throughput/latency'
     [echo]         
     [java] Shutdown hook added.
     [java] PUNCTUATION SERVER started................
     [java] Unable to determine dialect of the StAX implementation at jar:file:/home/chamod/Softwares/wso2/wso2das-3.1.0/repository/components/plugins/axiom_1.2.11.wso2v11.jar!/
     [java] SLF4J: Class path contains multiple SLF4J bindings.
     [java] SLF4J: Found binding in [jar:file:/home/chamod/Softwares/wso2/wso2das-3.1.0/repository/components/plugins/slf4j.log4j12_1.7.13.jar!/org/slf4j/impl/StaticLoggerBinder.class]
     [java] SLF4J: Found binding in [jar:file:/home/chamod/Softwares/wso2/wso2das-3.1.0/repository/components/plugins/slf4j.log4j12_1.7.21.jar!/org/slf4j/impl/StaticLoggerBinder.class]
     [java] SLF4J: See http://www.slf4j.org/codes.html#multiple_bindings for an explanation.
     [java] Thrift Server started at localhost
     [java] Thrift SSL port : 7761
     [java] Thrift port : 7661
     [java] Test Server Started
     [java] user admin connected
     [java] Event: count : 17201, maxHumidity : 999833, timeSpent : 20110
     [java] Event: count : 17301, maxHumidity : 999833, timeSpent : 20226
     [java] Event: count : 17401, maxHumidity : 999833, timeSpent : 20350
     [java] Event: count : 17501, maxHumidity : 999833, timeSpent : 20466
     [java] Event: count : 17601, maxHumidity : 999833, timeSpent : 20583
     [java] Event: count : 17701, maxHumidity : 999833, timeSpent : 20701
     [java] Event: count : 17801, maxHumidity : 999833, timeSpent : 20818
     [java] Event: count : 17901, maxHumidity : 999833, timeSpent : 20934
     [java] Event: count : 18001, maxHumidity : 999833, timeSpent : 21052
     [java] Event: count : 18101, maxHumidity : 999833, timeSpent : 21169
     [java] Event: count : 18201, maxHumidity : 999833, timeSpent : 21285
     [java] Event: count : 18301, maxHumidity : 999833, timeSpent : 21402
     [java] Event: count : 18401, maxHumidity : 999833, timeSpent : 21519
     [java] Event: count : 18501, maxHumidity : 999833, timeSpent : 21635
     [java] Event: count : 18601, maxHumidity : 999833, timeSpent : 21751
     [java] Event: count : 18701, maxHumidity : 999833, timeSpent : 21869
     [java] Event: count : 18801, maxHumidity : 999833, timeSpent : 21987
     [java] Event: count : 18901, maxHumidity : 999833, timeSpent : 22101
     [java] Event: count : 19001, maxHumidity : 999833, timeSpent : 22219
     [java] Event: count : 19101, maxHumidity : 999833, timeSpent : 22337
     [java] Event: count : 19201, maxHumidity : 999833, timeSpent : 22453
     [java] Event: count : 19301, maxHumidity : 999833, timeSpent : 22572
     [java] Event: count : 19401, maxHumidity : 999833, timeSpent : 22691
     [java] Event: count : 19501, maxHumidity : 999833, timeSpent : 22806
     [java] Event: count : 19601, maxHumidity : 999833, timeSpent : 22924
     [java] Event: count : 19701, maxHumidity : 999833, timeSpent : 23041
     [java] Event: count : 19801, maxHumidity : 999833, timeSpent : 23163
     [java] Event: count : 19901, maxHumidity : 999833, timeSpent : 23279
     [java] Event: count : 20001, maxHumidity : 999833, timeSpent : 23400
     [java] Event: count : 20101, maxHumidity : 999845, timeSpent : 23516
     [java] Event: count : 20201, maxHumidity : 999845, timeSpent : 23634
     [java] Event: count : 20301, maxHumidity : 999845, timeSpent : 23750
     [java] Event: count : 20401, maxHumidity : 999845, timeSpent : 23867
     [java] Event: count : 20501, maxHumidity : 999845, timeSpent : 23983
     [java] Event: count : 20601, maxHumidity : 999845, timeSpent : 24101
     [java] Event: count : 20701, maxHumidity : 999845, timeSpent : 24217
     [java] Event: count : 20801, maxHumidity : 999845, timeSpent : 24335
     [java] Event: count : 20901, maxHumidity : 999845, timeSpent : 24454
     [java] Event: count : 21001, maxHumidity : 999845, timeSpent : 24573
