event count, max, time spent
581,999968, 64791
582,999968, 64899
583,999968, 65007
584,999968, 65122
585,999968, 65231
586,999968, 65337
587,999968, 65447
588,999968, 65553
589,999968, 65661
590,999968, 65767
591,999968, 65876
592,999968, 65985
593,999968, 66095
594,999968, 66206
595,999968, 66316
596,999968, 66423
597,999968, 66533
598,999968, 66642
599,999968, 66748
600,999968, 66859
601,999968, 66966
602,999968, 67076
603,999968, 67184
604,999968, 67291
605,999968, 67395
606,999968, 67501
607,999968, 67610
608,999968, 67717
609,999968, 67827
610,999968, 67934
611,999968, 68043
612,999968, 68150
613,999968, 68258
614,999968, 68366
615,999968, 68474
616,999968, 68579
617,999968, 68686
618,999968, 68793
619,999968, 68901
620,999968, 69008
621,999968, 69121
622,999968, 69228
623,999968, 69337
624,999968, 69444
625,999968, 69553
626,999968, 69660
627,999968, 69768
628,999968, 69873
629,999968, 69981
630,999968, 70088
631,999968, 70195
632,999968, 70301
633,999968, 70410
634,999968, 70520
635,999968, 70625
636,999968, 70732
637,999968, 70838
638,999968, 70944
639,999968, 71051
640,999968, 71159
641,999968, 71266
642,999968, 71372
643,999968, 71472
644,999968, 71578
645,999968, 71686
646,999968, 71794
647,999968, 71899
648,999968, 72007
649,999968, 72113
650,999968, 72221
651,999968, 72330
652,999968, 72439
653,999968, 72547
654,999968, 72653
655,999968, 72759
656,999968, 72866
657,999968, 72974
658,999968, 73081
659,999968, 73189
660,999968, 73297
661,999968, 73403
662,999968, 73511
663,999968, 73616
664,999968, 73724
665,999968, 73833
666,999968, 73940
667,999968, 74047
668,999968, 74152
669,999968, 74259
670,999968, 74367
671,999968, 74473
672,999968, 74582
673,999968, 74689
674,999968, 74796
675,999968, 74902
676,999968, 75010
677,999968, 75116
678,999968, 75222
679,999968, 75328
680,999968, 75437
681,999968, 75543
682,999968, 75650
683,999968, 75756
684,999968, 75864
685,999968, 75971
686,999968, 76078
687,999968, 76181
688,999968, 76289
689,999968, 76395
690,999968, 76502
691,999968, 76608
692,999968, 76719
693,999968, 76823
694,999968, 76932
695,999968, 77037
696,999968, 77152
697,999968, 77257
698,999968, 77365
699,999968, 77471
700,999968, 77579
701,999968, 77686
702,999968, 77793
703,999968, 77900
704,999968, 78007
705,999968, 78114
706,999968, 78220
707,999968, 78328
708,999968, 78436
709,999968, 78543
710,999968, 78650
711,999975, 78757
712,999975, 78870
713,999975, 78973
714,999975, 79078
715,999975, 79186
716,999975, 79293
717,999975, 79401
718,999975, 79505
719,999975, 79615
720,999975, 79720
721,999975, 79829
722,999975, 79935
723,999975, 80044
724,999975, 80148
725,999975, 80257
726,999975, 80365
727,999975, 80473
728,999975, 80583
729,999975, 80689
730,999975, 80795
731,999975, 80902
732,999975, 81009
733,999975, 81116
734,999975, 81227
735,999975, 81331
736,999975, 81438
737,999975, 81551
738,999975, 81656
739,999975, 81764
740,999975, 81871
741,999975, 81976
742,999975, 82084
743,999975, 82191
744,999975, 82298
745,999975, 82408
746,999975, 82517
747,999975, 82622
748,999975, 82729
749,999975, 82837
750,999975, 82940
751,999975, 83048
752,999975, 83155
753,999975, 83263
754,999975, 83369
755,999975, 83479
756,999975, 83586
757,999975, 83692
758,999975, 83797
759,999975, 83898
760,999975, 84006
761,999975, 84112
762,999975, 84218
763,999975, 84324
764,999975, 84431
765,999975, 84539
766,999975, 84647
767,999975, 84756
768,999975, 84858
769,999975, 84965
770,999975, 85072
771,999975, 85180
772,999975, 85285
773,999975, 85394
774,999975, 85500
775,999975, 85607
776,999975, 85713
777,999975, 85819
778,999975, 85931
779,999975, 86037
780,999975, 86145
781,999975, 86252
782,999975, 86360
783,999975, 86466
784,999975, 86574
785,999975, 86682
786,999975, 86787
787,999975, 86894
788,999975, 86999
789,999975, 87106
790,999975, 87213
791,999975, 87321
792,999975, 87430
793,999975, 87535
794,999975, 87643
795,999975, 87752
796,999975, 87858
797,999975, 87966
798,999975, 88072
799,999975, 88179
800,999975, 88287
801,999975, 88392
802,999975, 88500
803,999975, 88607
804,999975, 88716
805,999975, 88823
806,999975, 88931
807,999975, 89038
808,999975, 89145
809,999975, 89252
810,999975, 89360
811,999975, 89470
812,999975, 89577
813,999975, 89684
814,999975, 89790
815,999975, 89896
816,999975, 90004
817,999975, 90114
818,999975, 90220
819,999975, 90328
820,999975, 90435
821,999975, 90542
822,999975, 90645
823,999975, 90755
824,999975, 90860
825,999975, 90968
826,999975, 91074
827,999975, 91180
828,999975, 91287
829,999975, 91394
830,999975, 91503
831,999975, 91609
832,999975, 91718
833,999975, 91818
834,999975, 91929
835,999975, 92036
836,999975, 92144
837,999975, 92251
838,999975, 92357
839,999975, 92465
840,999975, 92572
841,999975, 92679
842,999975, 92786
843,999975, 92892
844,999975, 93000
845,999975, 93109
846,999975, 93219
847,999975, 93326
848,999975, 93432
849,999975, 93539
850,999975, 93646
851,999975, 93753
852,999975, 93860
853,999975, 93967
854,999975, 94076
855,999975, 94182
856,999975, 94290
857,999975, 94398
858,999975, 94504
859,999975, 94609
860,999975, 94716
861,999975, 94821
862,999975, 94928
863,999975, 95037
864,999975, 95146
865,999975, 95252
866,999975, 95359
867,999975, 95465
868,999975, 95575
869,999975, 95679
870,999975, 95785
871,999975, 95891
872,999975, 95999
873,999975, 96105
874,999975, 96213
875,999975, 96321
876,999975, 96425
877,999975, 96532
878,999975, 96639
879,999975, 96747
880,999975, 96853
881,999975, 96962
882,999975, 97069
883,999975, 97177
884,999975, 97285
885,999975, 97392
886,999975, 97498
887,999975, 97605
888,999975, 97712
889,999975, 97818
890,999975, 97922
891,999975, 98028
892,999975, 98136
893,999975, 98243
894,999975, 98351
895,999975, 98457
896,999975, 98566
897,999975, 98672
898,999975, 98781
899,999975, 98889
900,999975, 98996
901,999975, 99103
902,999975, 99211
903,999975, 99319
904,999975, 99427
905,999975, 99534
906,999975, 99642
907,999975, 99749
908,999975, 99855
909,999975, 99963
910,999975, 100071
911,999975, 100176
912,999975, 100285
913,999975, 100391
914,999975, 100498
915,999975, 100605
916,999975, 100715
917,999975, 100821
918,999975, 100930
919,999975, 101037
920,999975, 101142
921,999975, 101249
922,999975, 101357
923,999990, 101464
924,999990, 101570
925,999990, 101677
926,999990, 101783
927,999990, 101889
928,999990, 101996
929,999990, 102104
930,999990, 102210
931,999990, 102317
932,999990, 102425
933,999990, 102531
934,999990, 102638
935,999990, 102741
936,999990, 102852
937,999990, 102960
938,999990, 103065
939,999990, 103173
940,999990, 103281
941,999990, 103388
942,999990, 103493
943,999990, 103600
944,999990, 103708
945,999990, 103814
946,999990, 103922
947,999990, 104029
948,999990, 104137
949,999990, 104243
950,999990, 104351
951,999990, 104458
952,999990, 104573
953,999990, 104679
954,999990, 104787
955,999990, 104894
956,999990, 104999
957,999990, 105108
958,999990, 105215
959,999990, 105320
960,999990, 105429
961,999990, 105535
962,999990, 105641
963,999990, 105748
964,999990, 105855
965,999990, 105964
966,999990, 106072
967,999990, 106179
968,999990, 106287
969,999990, 106393
970,999990, 106500
971,999990, 106607
972,999990, 106714
973,999990, 106822
974,999990, 106929
975,999990, 107039
976,999990, 107145
977,999990, 107252
978,999990, 107360
979,999990, 107468
980,999990, 107592
981,999990, 107720
982,999990, 107829
983,999990, 107936
984,999990, 108044
985,999990, 108153
986,999990, 108261
987,999990, 108366
988,999990, 108474
989,999990, 108586
990,999990, 108694
991,999990, 108803
992,999990, 108913
993,999990, 109019
994,999990, 109128
995,999990, 109238
996,999990, 109348
997,999990, 109458
998,999990, 109566
999,999990, 109677
1000,999990, 109787
