Buildfile: /home/chamod/Softwares/wso2/wso2das-3.1.0/samples/cep/consumers/wso2-event-consumer/build.xml

init:

compile:
    [javac] /home/chamod/Softwares/wso2/wso2das-3.1.0/samples/cep/consumers/wso2-event-consumer/build.xml:87: warning: 'includeantruntime' was not set, defaulting to build.sysclasspath=last; set to false for repeatable builds
     [copy] Copying 1 file to /home/chamod/Softwares/wso2/wso2das-3.1.0/samples/cep/consumers/wso2-event-consumer/temp/classes

run:
     [echo] Configure optionally use -DelapsedCount=xxxx -Dprotocol='thrift/binary' -Dhost=xxxx -Dport=xxxx
     [echo]             -DcalcType='throughput/latency'
     [echo]         
     [java] Shutdown hook added.
     [java] PUNCTUATION SERVER started................
     [java] Unable to determine dialect of the StAX implementation at jar:file:/home/chamod/Softwares/wso2/wso2das-3.1.0/repository/components/plugins/axiom_1.2.11.wso2v11.jar!/
     [java] SLF4J: Class path contains multiple SLF4J bindings.
     [java] SLF4J: Found binding in [jar:file:/home/chamod/Softwares/wso2/wso2das-3.1.0/repository/components/plugins/slf4j.log4j12_1.7.13.jar!/org/slf4j/impl/StaticLoggerBinder.class]
     [java] SLF4J: Found binding in [jar:file:/home/chamod/Softwares/wso2/wso2das-3.1.0/repository/components/plugins/slf4j.log4j12_1.7.21.jar!/org/slf4j/impl/StaticLoggerBinder.class]
     [java] SLF4J: See http://www.slf4j.org/codes.html#multiple_bindings for an explanation.
     [java] Thrift Server started at localhost
     [java] Thrift SSL port : 7761
     [java] Thrift port : 7661
     [java] Test Server Started
     [java] user admin connected
     [java] Event: count : 69, maxHumidity : 988570, timeSpent : 274
     [java] Event: count : 68, maxHumidity : 988570, timeSpent : 274
     [java] Event: count : 67, maxHumidity : 988570, timeSpent : 274
     [java] Event: count : 66, maxHumidity : 988570, timeSpent : 274
     [java] Event: count : 65, maxHumidity : 988570, timeSpent : 274
     [java] Event: count : 435, maxHumidity : 999782, timeSpent : 274
     [java] Event: count : 434, maxHumidity : 999782, timeSpent : 275
     [java] Event: count : 433, maxHumidity : 999782, timeSpent : 275
     [java] Event: count : 432, maxHumidity : 999782, timeSpent : 275
     [java] Event: count : 431, maxHumidity : 999782, timeSpent : 275
     [java] Event: count : 430, maxHumidity : 999782, timeSpent : 275
     [java] Event: count : 429, maxHumidity : 999782, timeSpent : 275
     [java] Event: count : 428, maxHumidity : 999782, timeSpent : 275
     [java] Event: count : 427, maxHumidity : 999782, timeSpent : 275
     [java] Event: count : 426, maxHumidity : 999782, timeSpent : 276
     [java] Event: count : 425, maxHumidity : 999782, timeSpent : 276
     [java] Event: count : 424, maxHumidity : 999782, timeSpent : 276
     [java] Event: count : 423, maxHumidity : 999782, timeSpent : 276
     [java] Event: count : 422, maxHumidity : 999782, timeSpent : 276
     [java] Event: count : 421, maxHumidity : 999782, timeSpent : 278
     [java] Event: count : 420, maxHumidity : 999782, timeSpent : 278
     [java] Event: count : 419, maxHumidity : 999782, timeSpent : 278
     [java] Event: count : 417, maxHumidity : 999782, timeSpent : 278
     [java] Event: count : 415, maxHumidity : 999782, timeSpent : 278
