events count, average value
809,5165.631644004944
810,5161.48024691358
811,5156.437731196054
812,5150.358374384236
813,5155.391143911439
814,5156.415233415233
815,5158.40736196319
816,5155.301470588235
817,5152.971848225214
818,5155.528117359413
819,5152.31746031746
820,5149.315853658537
821,5154.705237515225
822,5159.493917274939
823,5163.6950182260025
824,5159.276699029127
825,5164.203636363636
826,5169.165859564165
827,5173.790810157195
828,5175.237922705314
829,5178.29794933655
830,5173.412048192771
831,5170.243080625753
832,5175.002403846154
833,5171.672268907563
834,5170.406474820144
835,5164.976047904192
836,5162.834928229665
837,5167.994026284349
838,5165.767303102625
839,5166.443384982122
840,5163.938095238095
841,5158.953626634959
842,5154.684085510688
843,5153.651245551601
844,5150.981042654028
845,5152.363313609468
846,5155.96926713948
847,5155.005903187722
848,5149.016509433963
849,5147.217903415783
850,5147.757647058824
851,5151.638072855464
852,5146.196009389671
853,5148.458382180539
854,5153.672131147541
855,5152.2397660818715
856,5154.273364485981
857,5156.620770128355
858,5160.9055944055945
859,5156.2176949941795
860,5152.691860465116
861,5151.918699186992
862,5152.821345707656
863,5154.272305909618
864,5148.333333333333
865,5145.327167630057
866,5149.36143187067
867,5147.9815455594
868,5145.8663594470045
869,5143.838895281933
870,5146.373563218391
871,5151.475315729047
872,5150.405963302752
873,5150.068728522337
874,5148.0560640732265
875,5150.374857142857
876,5149.278538812785
877,5154.598631698974
878,5158.206150341685
879,5156.977246871445
880,5152.128409090909
881,5156.316685584563
882,5157.130385487529
883,5154.669309173273
884,5152.536199095022
885,5157.240677966101
886,5159.836343115124
887,5163.358511837655
888,5166.051801801802
889,5163.221597300338
890,5164.024719101124
891,5160.829405162738
892,5163.769058295964
893,5162.698768197089
894,5162.994407158837
895,5159.137430167598
896,5161.350446428572
897,5162.2597547380155
898,5158.537861915367
899,5155.7630700778645
900,5160.455555555555
901,5164.824639289678
902,5163.082039911308
903,5167.8427464008855
904,5166.253318584071
905,5166.755801104972
906,5171.672185430463
907,5169.384785005513
908,5173.569383259912
909,5168.917491749175
910,5168.578021978022
911,5167.65751920966
912,5172.089912280701
913,5166.495071193866
914,5162.6805251641135
915,5165.256830601093
916,5168.239082969432
917,5168.541984732825
918,5167.273420479303
919,5166.212187159957
920,5168.417391304348
921,5169.208469055375
922,5171.823210412147
923,5170.810400866739
924,5167.3452380952385
925,5165.005405405405
926,5160.048596112311
927,5155.093851132686
928,5153.586206896552
929,5153.668460710442
930,5157.008602150538
931,5158.148227712138
932,5153.0
933,5157.5048231511255
934,5155.779443254818
935,5160.92513368984
936,5166.005341880342
937,5167.992529348986
938,5164.883795309169
939,5166.4653887113955
940,5168.142553191489
941,5170.246546227418
942,5172.036093418259
943,5170.580063626723
944,5172.047669491525
945,5169.562962962963
946,5174.601479915434
947,5174.0813093981
948,5176.87552742616
949,5176.119072708114
950,5178.628421052632
951,5177.916929547844
952,5176.4002100840335
953,5178.751311647429
954,5175.072327044025
955,5178.06387434555
956,5178.7751046025105
957,5174.006269592476
958,5172.05636743215
959,5170.4953076120955
960,5169.452083333334
961,5165.513007284079
962,5164.2307692307695
963,5162.785046728972
964,5165.660788381742
965,5165.39896373057
966,5169.011387163561
967,5173.434332988624
968,5175.898760330579
969,5179.017543859649
970,5183.268041237114
971,5187.320288362513
972,5185.611111111111
973,5183.399794450154
974,5180.2515400410675
975,5177.374358974359
976,5173.938524590164
977,5177.783009211873
978,5173.340490797546
979,5171.036772216547
980,5167.808163265307
981,5166.031600407748
982,5161.371690427699
983,5158.560528992879
984,5156.751016260163
985,5156.497461928934
986,5158.731237322515
987,5160.576494427558
988,5162.060728744939
989,5163.399393326593
990,5159.114141414141
991,5160.523713420787
992,5161.803427419355
993,5157.2044310171195
994,5157.149899396379
995,5157.732663316583
996,5156.417670682731
997,5154.030090270812
998,5155.0440881763525
999,5158.467467467467
1000,5154.866
1001,5158.724275724276
1002,5162.007984031936
1003,5163.532402791625
1004,5161.042828685259
1005,5161.664676616915
1006,5166.399602385686
1007,5165.2025819265145
1008,5168.591269841269
1009,5168.93657086224
1010,5168.908910891089
1011,5168.358061325421
1012,5169.071146245059
1013,5164.166831194472
1014,5164.239644970414
1015,5164.126108374384
1016,5168.570866141732
1017,5172.0
1018,5167.6699410609035
1019,5162.7507360157015
1020,5158.0392156862745
1021,5157.506366307542
1022,5161.252446183953
1023,5163.822091886608
1024,5164.6123046875
1025,5166.941463414634
1026,5166.603313840156
1027,5164.665043816943
1028,5160.468871595331
1029,5157.943634596696
1030,5151.656948493684
1031,5151.6203883495145
1032,5155.954413191077
1033,5154.631782945737
1034,5152.656007751938
1035,5154.992248062015
1036,5157.416263310745
1037,5153.104448742746
1038,5155.2589371980675
1039,5158.233590733591
1040,5153.719382835101
1041,5153.6204238921
1042,5149.1944177093355
1043,5144.893269230769
1044,5144.790585975024
1045,5144.762728146014
1046,5145.615163147792
1047,5145.825503355704
1048,5140.479846449136
1049,5143.119846596357
1050,5142.226270373922
1051,5139.842610364683
1052,5141.566634707574
1053,5140.313218390805
1054,5138.132183908046
1055,5132.163950143816
1056,5130.433908045977
1057,5127.82009569378
1058,5130.921531100478
1059,5129.374760994264
1060,5127.959885386819
1061,5125.781488549618
1062,5119.672084130019
1063,5122.5
1064,5124.168099331423
1065,5121.3606870229005
1066,5120.915157292659
1067,5119.394285714286
1068,5123.414843006661
1069,5126.48288973384
1070,5130.558404558405
1071,5132.341555977229
1072,5133.003791469195
1073,5131.090218423552
1074,5130.399430740038
1075,5132.078672985782
1076,5133.760416666667
1077,5138.196783349102
1078,5137.898578199052
1079,5135.551233396584
1080,5130.078897338403
1081,5127.758784425451
1082,5132.285578747628
1083,5130.725118483412
1084,5142.153919694073
1085,5142.603629417383
1086,5135.067178502879
1087,5129.835576923077
1088,5136.014450867052
1089,5138.6673095467695
1090,5126.11497584541
1091,5134.193423597679
1092,5119.393523061825
1093,5110.874381800198
1094,5103.01296111665
1095,5108.496496496497
1096,5104.629
1097,5100.5034965034965
1098,5105.249500998004
1099,5108.970059880239
1100,5108.926221335992
1101,5107.179640718563
1102,5103.649
1103,5112.96996996997
1104,5118.27693856999
1105,5112.5151209677415
1106,5113.444556451613
1107,5108.611278952669
1108,5103.6056622851365
1109,5100.958502024291
1110,5098.966360856269
1111,5109.595505617977
1112,5111.5234693877555
1113,5108.393476044852
1114,5110.373727087576
1115,5108.684638860631
1116,5104.071138211382
1117,5107.551269035533
1118,5105.916835699797
1119,5107.231003039514
1120,5111.752024291498
1121,5114.173913043478
1122,5118.671717171717
1123,5115.15438950555
1124,5114.160282258064
1125,5112.045408678103
1126,5111.125126135217
1127,5115.178787878788
1128,5102.084093211753
1129,5098.686294416244
1130,5103.880081300813
1131,5102.420998980632
1132,5098.090909090909
1133,5101.309183673469
1134,5094.288775510204
1135,5095.771195097038
1136,5096.624360286592
1137,5102.128468653648
1138,5094.7
1139,5088.958549222798
1140,5092.3178053830225
1141,5095.669079627714
1142,5091.757512953368
1143,5095.071651090343
1144,5089.08947368421
1145,5088.841219768665
1146,5092.338235294118
1147,5086.491578947368
1148,5084.653643083421
1149,5084.688489968321
1150,5080.848034006376
1151,5082.3991507431
1152,5082.867444326617
1153,5083.357142857143
1154,5085.351437699681
1155,5084.341489361702
1156,5083.403191489362
1157,5086.4653887113955
1158,5085.684771033014
1159,5087.9808510638295
1160,5085.452709883103
1161,5082.984076433121
1162,5086.697773064687
1163,5084.865466101695
1164,5081.649735449735
1165,5083.201902748415
1166,5082.567053854276
1167,5079.457716701902
1168,5076.088701161563
1169,5073.1719409282705
1170,5071.733615221988
1171,5077.724576271186
1172,5073.0699152542375
1173,5054.528281750267
1174,5056.590618336887
1175,5066.565310492505
1176,5067.570053475936
1177,5064.955032119914
1178,5074.187027027027
1179,5079.305525460455
1180,5076.457792207792
1181,5079.516793066089
1182,5070.513572204126
1183,5069.838461538461
1184,5069.374295377677
1185,5074.58418079096
1186,5070.995480225989
1187,5074.471655328798
1188,5075.4066059225515
1189,5078.7357630979495
1190,5073.900229357798
1191,5071.5476463834675
1192,5075.987385321101
1193,5070.841924398625
1194,5068.133867276888
1195,5060.890034364261
1196,5064.54753722795
1197,5058.541809851088
1198,5064.856815578465
1199,5058.209621993127
1200,5054.130884041332
1201,5047.651724137931
1202,5048.850057670127
1203,5052.455069124424
1204,5057.271889400921
1205,5054.213625866051
1206,5052.850989522701
1207,5053.747674418604
1208,5053.044134727062
1209,5051.808584686775
1210,5056.633835457706
1211,5051.100811123986
1212,5053.623842592592
1213,5057.49710982659
1214,5063.028868360278
1215,5065.799307958478
1216,5061.668202764977
1217,5066.585730724972
1218,5071.148275862069
1219,5072.540757749713
1220,5076.026376146789
1221,5075.749140893471
1222,5073.45652173913
1223,5074.36
1224,5079.646242774566
1225,5079.294663573086
1226,5079.775581395349
1227,5085.487089201878
1228,5075.806375442739
1229,5067.010676156584
1230,5061.626777251185
1231,5052.676190476191
1232,5032.451887941535
1233,5019.80243902439
1234,5013.2975609756095
1235,5009.34394124847
1236,5007.948362720403
1237,5008.605031446541
1238,5009.7106918239
1239,5014.835220125786
1240,5026.16855345912
1241,5026.543396226415
1242,5025.951005025126
1243,5036.842964824121
1244,5038.632371392723
1245,5041.966165413533
1246,5035.964956195244
1247,5036.2425
1248,5034.35625
1249,5030.69038701623
1250,5030.5610972568575
1251,5044.504369538077
1252,5046.405236907731
1253,5042.469259723965
1254,5048.02634880803
1255,5052.907151819322
1256,5057.591478696741
1257,5066.771643663739
1258,5068.267252195734
1259,5066.9585947302385
1260,5065.038895859473
1261,5069.26599749059
1262,5064.519447929736
1263,5074.97365119197
1264,5075.436637390213
1265,5069.984962406015
1266,5067.472431077695
1267,5075.701380175658
1268,5075.087719298245
