Buildfile: /home/chamod/Softwares/wso2/wso2das-3.1.0/samples/cep/consumers/wso2-event-consumer/build.xml

init:

compile:
    [javac] /home/chamod/Softwares/wso2/wso2das-3.1.0/samples/cep/consumers/wso2-event-consumer/build.xml:87: warning: 'includeantruntime' was not set, defaulting to build.sysclasspath=last; set to false for repeatable builds
     [copy] Copying 1 file to /home/chamod/Softwares/wso2/wso2das-3.1.0/samples/cep/consumers/wso2-event-consumer/temp/classes

run:
     [echo] Configure optionally use -DelapsedCount=xxxx -Dprotocol='thrift/binary' -Dhost=xxxx -Dport=xxxx
     [echo]             -DcalcType='throughput/latency'
     [echo]         
     [java] Shutdown hook added.
     [java] PUNCTUATION SERVER started................
     [java] Unable to determine dialect of the StAX implementation at jar:file:/home/chamod/Softwares/wso2/wso2das-3.1.0/repository/components/plugins/axiom_1.2.11.wso2v11.jar!/
     [java] SLF4J: Class path contains multiple SLF4J bindings.
     [java] SLF4J: Found binding in [jar:file:/home/chamod/Softwares/wso2/wso2das-3.1.0/repository/components/plugins/slf4j.log4j12_1.7.13.jar!/org/slf4j/impl/StaticLoggerBinder.class]
     [java] SLF4J: Found binding in [jar:file:/home/chamod/Softwares/wso2/wso2das-3.1.0/repository/components/plugins/slf4j.log4j12_1.7.21.jar!/org/slf4j/impl/StaticLoggerBinder.class]
     [java] SLF4J: See http://www.slf4j.org/codes.html#multiple_bindings for an explanation.
     [java] Thrift Server started at localhost
     [java] Thrift SSL port : 7761
     [java] Thrift port : 7661
     [java] Test Server Started
     [java] user admin connected
     [java] Event: humidity : 114, avgHumidity : 5709.078947368421, timeSpent : 118
     [java] Event: humidity : 113, avgHumidity : 5697.8230088495575, timeSpent : 118
     [java] Event: humidity : 112, avgHumidity : 5683.741071428572, timeSpent : 118
     [java] Event: humidity : 111, avgHumidity : 5653.7657657657655, timeSpent : 118
     [java] Event: humidity : 137, avgHumidity : 5582.109489051095, timeSpent : 118
     [java] Event: humidity : 136, avgHumidity : 5560.330882352941, timeSpent : 119
     [java] Event: humidity : 134, avgHumidity : 5581.179104477612, timeSpent : 119
     [java] Event: humidity : 117, avgHumidity : 5772.820512820513, timeSpent : 119
     [java] Event: humidity : 138, avgHumidity : 5589.427536231884, timeSpent : 120
     [java] Event: humidity : 139, avgHumidity : 5570.8705035971225, timeSpent : 121
     [java] Event: humidity : 140, avgHumidity : 5580.864285714286, timeSpent : 122
     [java] Event: humidity : 141, avgHumidity : 5594.170212765957, timeSpent : 122
     [java] Event: humidity : 142, avgHumidity : 5612.2464788732395, timeSpent : 122
     [java] Event: humidity : 133, avgHumidity : 5602.774436090225, timeSpent : 123
     [java] Event: humidity : 143, avgHumidity : 5590.818181818182, timeSpent : 123
     [java] Event: humidity : 145, avgHumidity : 5586.013793103448, timeSpent : 123
     [java] Event: humidity : 146, avgHumidity : 5609.876712328767, timeSpent : 123
     [java] Event: humidity : 152, avgHumidity : 5518.993421052632, timeSpent : 124
     [java] Event: humidity : 154, avgHumidity : 5554.25974025974, timeSpent : 125
     [java] Event: humidity : 158, avgHumidity : 5545.848101265823, timeSpent : 125
     [java] Event: humidity : 159, avgHumidity : 5526.704402515723, timeSpent : 125
     [java] Event: humidity : 161, avgHumidity : 5496.782608695652, timeSpent : 125
     [java] Event: humidity : 165, avgHumidity : 5473.666666666667, timeSpent : 126
     [java] Event: humidity : 151, avgHumidity : 5508.3311258278145, timeSpent : 126
     [java] Event: humidity : 150, avgHumidity : 5540.613333333334, timeSpent : 126
     [java] Event: humidity : 149, avgHumidity : 5530.402684563758, timeSpent : 126
     [java] Event: humidity : 148, avgHumidity : 5543.310810810811, timeSpent : 126
     [java] Event: humidity : 144, avgHumidity : 5565.277777777777, timeSpent : 126
     [java] Event: humidity : 147, avgHumidity : 5574.115646258503, timeSpent : 127
     [java] Event: humidity : 168, avgHumidity : 5526.601190476191, timeSpent : 127
     [java] Event: humidity : 167, avgHumidity : 5517.976047904192, timeSpent : 127
     [java] Event: humidity : 166, avgHumidity : 5494.409638554217, timeSpent : 127
     [java] Event: humidity : 164, avgHumidity : 5486.530487804878, timeSpent : 127
     [java] Event: humidity : 163, avgHumidity : 5464.9079754601225, timeSpent : 127
     [java] Event: humidity : 162, avgHumidity : 5475.722222222223, timeSpent : 128
     [java] Event: humidity : 160, avgHumidity : 5529.55, timeSpent : 128
     [java] Event: humidity : 157, avgHumidity : 5528.203821656051, timeSpent : 128
     [java] Event: humidity : 156, avgHumidity : 5551.724358974359, timeSpent : 128
     [java] Event: humidity : 155, avgHumidity : 5551.845161290323, timeSpent : 128
     [java] Event: humidity : 153, avgHumidity : 5528.640522875817, timeSpent : 128
     [java] Event: humidity : 170, avgHumidity : 5500.870588235294, timeSpent : 131
     [java] Event: humidity : 185, avgHumidity : 5527.778378378378, timeSpent : 133
     [java] Event: humidity : 184, avgHumidity : 5516.336956521739, timeSpent : 134
     [java] Event: humidity : 183, avgHumidity : 5523.262295081967, timeSpent : 134
     [java] Event: humidity : 182, avgHumidity : 5541.807692307692, timeSpent : 134
     [java] Event: humidity : 181, avgHumidity : 5522.14364640884, timeSpent : 134
     [java] Event: humidity : 180, avgHumidity : 5505.011111111111, timeSpent : 135
     [java] Event: humidity : 179, avgHumidity : 5525.508379888268, timeSpent : 135
     [java] Event: humidity : 178, avgHumidity : 5501.595505617977, timeSpent : 135
