events count, average value,lower bound - 0.3, upper bound - 0.3, timeSpent
515,5188.32123412,3631.82486388,6744.81760436,256
516,5196.36216216,3637.45351351,6755.27081081,256
517,5196.66666667,3637.66666667,6755.66666667,257
518,5196.52135231,3637.56494662,6755.47775801,257
519,5186.01446655,3630.21012658,6741.81880651,257
520,5198.06642729,3638.6464991,6757.48635548,257
521,5188.54723708,3631.98306595,6745.1114082,257
522,5186.63571429,3630.645,6742.62642857,257
523,5190.83032491,3633.58122744,6748.07942238,257
524,5194.11050725,3635.87735507,6752.34365942,257
525,5194.62727273,3636.23909091,6753.01545455,258
526,5198.75729927,3639.13010949,6758.38448905,260
527,5201.5136612,3641.05956284,6761.96775956,260
528,5191.89031079,3634.32321755,6749.45740402,260
529,5183.85267035,3628.69686924,6739.00847145,260
530,5188.51926606,3631.96348624,6745.07504587,260
531,5186.70036765,3630.69025735,6742.71047794,261
532,5190.35304991,3633.24713494,6747.45896488,261
533,5196.1037037,3637.27259259,6754.93481481,261
534,5191.38033395,3633.96623377,6748.79443414,261
535,5185.10037175,3629.57026022,6740.63048327,261
536,5191.29422719,3633.90595903,6748.68249534,261
537,5196.31156716,3637.41809701,6755.20503731,261
538,5190.48037383,3633.33626168,6747.62448598,262
539,5196.36516854,3637.45561798,6755.2747191,262
540,5189.20825516,3632.44577861,6745.97073171,266
541,5197.41054614,3638.1873823,6756.63370998,266
542,5205.93005671,3644.1510397,6767.70907372,266
543,5211.12737643,3647.7891635,6774.46558935,266
544,5219.00381679,3653.30267176,6784.70496183,266
545,5205.67244367,3643.97071057,6767.37417678,268
546,5204.81888247,3643.37321773,6766.26454721,269
547,5224.30163934,3657.01114754,6791.59213115,271
548,5193.59574468,3635.51702128,6751.67446809,271
549,5202.03696498,3641.42587549,6762.64805447,272
550,5216.27635783,3651.39345048,6781.15926518,272
551,5210.50195312,3647.35136719,6773.65253906,272
552,5219.12133072,3653.38493151,6784.85772994,272
553,5215.85686275,3651.09980392,6780.61392157,273
554,5206.66994106,3644.66895874,6768.67092338,273
555,5203.89566929,3642.7269685,6765.06437008,273
556,5196.14792899,3637.3035503,6754.99230769,273
557,5212.83280255,3648.98296178,6776.68264331,273
558,5184.6970297,3629.28792079,6740.10613861,273
559,5192.32806324,3634.62964427,6750.02648221,273
560,5177.54761905,3624.28333333,6730.81190476,273
561,5186.51689861,3630.56182903,6742.47196819,273
562,5182.78087649,3627.94661355,6737.61513944,274
563,5216.04423381,3651.23096367,6780.85750395,274
564,5173.97205589,3621.78043912,6726.16367265,274
565,5181.796,3627.2572,6736.3348,274
