events count, max value,lower bound - 0.3, upper bound - 0.3, timeSpent
487,999886.0,699920.2,1299851.8,41558
488,999886.0,699920.2,1299851.8,41636
489,999886.0,699920.2,1299851.8,41718
490,999886.0,699920.2,1299851.8,41790
491,999886.0,699920.2,1299851.8,41873
492,999886.0,699920.2,1299851.8,41957
493,999886.0,699920.2,1299851.8,42038
494,999886.0,699920.2,1299851.8,42127
495,999886.0,699920.2,1299851.8,42207
496,999886.0,699920.2,1299851.8,42282
497,999886.0,699920.2,1299851.8,42366
498,999886.0,699920.2,1299851.8,42447
499,999886.0,699920.2,1299851.8,42527
500,999886.0,699920.2,1299851.8,42611
501,999886.0,699920.2,1299851.8,42692
502,999886.0,699920.2,1299851.8,42773
503,999886.0,699920.2,1299851.8,42850
504,999886.0,699920.2,1299851.8,42928
505,999886.0,699920.2,1299851.8,43007
506,999886.0,699920.2,1299851.8,43078
507,999886.0,699920.2,1299851.8,43161
508,999886.0,699920.2,1299851.8,43242
509,999886.0,699920.2,1299851.8,43327
510,999886.0,699920.2,1299851.8,43408
511,999886.0,699920.2,1299851.8,43493
512,999886.0,699920.2,1299851.8,43572
513,999886.0,699920.2,1299851.8,43650
514,999886.0,699920.2,1299851.8,43732
515,999886.0,699920.2,1299851.8,43813
516,999886.0,699920.2,1299851.8,43894
517,999886.0,699920.2,1299851.8,43974
518,999886.0,699920.2,1299851.8,44059
519,999886.0,699920.2,1299851.8,44141
520,999886.0,699920.2,1299851.8,44221
521,999886.0,699920.2,1299851.8,44299
522,999886.0,699920.2,1299851.8,44379
523,999886.0,699920.2,1299851.8,44453
524,999886.0,699920.2,1299851.8,44531
525,999886.0,699920.2,1299851.8,44618
526,999886.0,699920.2,1299851.8,44698
527,999886.0,699920.2,1299851.8,44778
528,999886.0,699920.2,1299851.8,44858
529,999886.0,699920.2,1299851.8,44935
530,999886.0,699920.2,1299851.8,45014
531,999886.0,699920.2,1299851.8,45093
532,999886.0,699920.2,1299851.8,45177
533,999886.0,699920.2,1299851.8,45258
534,999886.0,699920.2,1299851.8,45340
535,999886.0,699920.2,1299851.8,45420
536,999886.0,699920.2,1299851.8,45501
537,999886.0,699920.2,1299851.8,45579
538,999886.0,699920.2,1299851.8,45660
539,999886.0,699920.2,1299851.8,45736
540,999886.0,699920.2,1299851.8,45819
541,999886.0,699920.2,1299851.8,45901
542,999886.0,699920.2,1299851.8,45986
543,999886.0,699920.2,1299851.8,46068
544,999886.0,699920.2,1299851.8,46149
