event count, avg, time spent
536,500595.48746752396, 60097
537,500509.50193093414, 60206
538,500517.979274129, 60313
539,500494.89858924557, 60428
540,500461.98168865143, 60538
541,500583.1104979537, 60638
542,500662.83517864736, 60744
543,500604.17440637626, 60856
544,500619.15115743724, 60963
545,500605.83842208784, 61074
546,500568.3683051687, 61184
547,500626.36748411204, 61295
548,500756.6835158407, 61404
549,500725.24129121733, 61508
550,500695.4730332781, 61619
551,500558.4645733714, 61731
552,500487.47079000383, 61837
553,500487.39370663575, 61947
554,500494.63389450463, 62057
555,500453.599249111, 62169
556,500360.5215942055, 62277
557,500420.0203053902, 62388
558,500454.39367336314, 62496
559,500460.1067364384, 62604
560,500596.73841255077, 62711
561,500601.63184585987, 62814
562,500580.6088661521, 62921
563,500585.24529812636, 63026
564,500459.7210173887, 63136
565,500401.50938813144, 63246
566,500501.1541742624, 63353
567,500421.68004098866, 63460
568,500447.3736265674, 63568
569,500414.33082164044, 63673
570,500409.95799722325, 63780
571,500455.19020718936, 63890
572,500474.3664033905, 64000
573,500486.84872642084, 64108
574,500544.9057433553, 64216
575,500633.4750962527, 64321
576,500666.495382689, 64429
577,500724.678495165, 64538
578,500732.3143099773, 64644
579,500764.8324077438, 64746
580,500736.49651992193, 64854
581,500697.74253892177, 64962
582,500625.611297568, 65070
583,500590.4211955121, 65176
584,500559.2113171301, 65289
585,500620.37030187837, 65398
586,500701.25232047314, 65507
587,500726.2782546373, 65620
588,500789.68170899985, 65729
589,500753.65422356763, 65837
590,500767.3425918066, 65944
591,500747.82100303384, 66052
592,500764.91250571056, 66160
593,500647.17516596004, 66268
594,500675.54623024905, 66377
595,500635.97301392234, 66486
596,500637.21475269325, 66593
597,500632.8361436889, 66699
598,500605.2119729988, 66810
599,500633.2775706092, 66916
600,500599.0146241298, 67028
601,500580.0912651456, 67137
602,500559.10773531225, 67246
603,500618.16346904536, 67355
604,500647.1266148157, 67466
605,500567.73192496813, 67575
606,500543.0706269318, 67683
607,500471.54918235674, 67791
608,500453.36781931104, 67894
609,500483.6296442493, 67995
610,500518.36060163216, 68109
611,500490.0013770266, 68216
612,500425.4181600956, 68324
613,500444.4494207611, 68436
614,500384.1367840655, 68545
615,500469.0286477419, 68652
616,500500.71476886555, 68758
617,500529.2244444084, 68868
618,500544.7174438016, 68974
619,500593.3249300173, 69083
620,500603.51973312226, 69189
621,500661.09486943757, 69300
622,500704.86452714127, 69408
623,500654.767206315, 69512
624,500682.6214025457, 69618
625,500671.41707664944, 69724
626,500724.20250875986, 69829
627,500698.7220651427, 69938
628,500679.1199183426, 70045
629,500641.66841292335, 70151
630,500591.81879461376, 70259
631,500563.1063792638, 70363
632,500500.6241264005, 70469
633,500560.55813990283, 70577
634,500532.795706229, 70685
635,500506.1825680983, 70790
636,500504.9531345963, 70898
637,500475.11837864184, 71006
638,500477.4705734604, 71114
639,500490.973448692, 71221
640,500439.73588832724, 71329
641,500478.01967156766, 71436
642,500521.9456014727, 71547
643,500493.566424199, 71651
644,500439.5442839147, 71757
645,500504.1571248894, 71865
646,500526.69555510767, 71974
647,500508.04931812204, 72081
648,500494.59589496296, 72187
649,500501.75977222575, 72293
650,500559.6505600838, 72403
651,500548.4745773142, 72509
652,500521.4816669483, 72617
653,500414.4748700173, 72723
654,500445.7168956065, 72837
655,500457.4558034281, 72944
656,500413.7184775805, 73051
657,500390.38513132423, 73158
658,500464.07272339845, 73265
659,500523.7928450935, 73376
660,500574.1896784571, 73482
661,500597.78459417284, 73587
662,500567.2606012012, 73695
663,500630.1361912962, 73799
664,500571.4962821074, 73905
665,500610.0664899625, 74011
666,500626.29832634097, 74119
667,500673.82099367876, 74226
668,500619.38850991736, 74335
669,500631.2986033143, 74443
670,500614.42582323134, 74549
671,500699.87150938046, 74655
672,500720.91769124154, 74759
673,500676.9071144775, 74868
674,500629.43715546577, 74977
675,500704.8818415157, 75085
676,500696.1248574095, 75185
677,500769.2304847561, 75293
678,500766.92898184666, 75406
679,500696.82755416585, 75512
680,500681.2441495707, 75618
681,500645.0478375318, 75725
682,500606.4712118765, 75829
683,500575.0097359276, 75934
684,500592.73313714296, 76042
685,500583.76235727547, 76149
686,500577.5765317295, 76259
687,500533.68888208625, 76368
688,500607.3921922534, 76478
689,500595.0145201378, 76585
690,500500.4354363507, 76691
691,500513.87461051287, 76799
692,500522.29773809353, 76908
693,500524.21921648533, 77014
694,500483.09253834723, 77121
695,500514.1205890405, 77233
696,500517.500611502, 77339
697,500439.2551974828, 77444
698,500421.7914664065, 77553
699,500400.9609604447, 77670
700,500333.36867855967, 77775
701,500337.19616862613, 77881
702,500337.88129983883, 77987
703,500332.57399467245, 78095
704,500262.9087921936, 78201
705,500204.93157767644, 78326
706,500132.89632771164, 78432
707,500108.1880993187, 78546
708,500141.96496513486, 78651
709,500139.58037315856, 78751
710,500176.8527806378, 78854
711,500159.1935747384, 78959
712,500148.8126467982, 79066
713,500101.26138677826, 79170
714,500120.67731167865, 79277
715,500143.4874861697, 79381
716,500045.95172095497, 79488
717,500072.38939400285, 79592
718,500048.0338489003, 79701
719,500000.1143159566, 79810
720,500027.50625165156, 79919
721,500079.32450938184, 80022
722,500089.7559673236, 80134
723,500074.8776609742, 80241
724,500102.3902435651, 80354
725,500109.8663001892, 80463
726,500082.6731079571, 80566
727,500088.35145521414, 80665
728,500063.7121222542, 80785
729,500120.3737311301, 80886
730,500122.7793034389, 80996
731,500178.4527746195, 81106
732,500195.64572304074, 81211
733,500193.50485649105, 81316
734,500111.71663415234, 81421
735,500152.1763327475, 81525
736,500174.8291723922, 81633
737,500253.2200921183, 81745
738,500189.4013242697, 81852
739,500200.05821059336, 81952
740,500287.10675092356, 82060
741,500280.1932676585, 82162
742,500291.19316878315, 82262
743,500327.14551016834, 82368
744,500408.49302162824, 82477
745,500487.4445101544, 82580
746,500431.93469886313, 82684
747,500470.84241498105, 82792
748,500465.5968460931, 82900
749,500464.4642183928, 82997
750,500433.71129891457, 83101
751,500443.5248063359, 83199
752,500438.6182341114, 83308
753,500493.5887022779, 83419
754,500477.8536407219, 83524
755,500439.1387780003, 83628
756,500469.10317744134, 83738
757,500494.1105937752, 83845
758,500524.11384261766, 83951
759,500447.1000778354, 84052
760,500409.08546659467, 84165
761,500400.0711174853, 84271
762,500357.7887544185, 84377
763,500347.2992349182, 84482
764,500332.32104428514, 84594
765,500283.04375597177, 84703
766,500276.6669324584, 84801
767,500312.812091226, 84908
768,500272.21015371376, 85017
769,500271.1612218591, 85122
770,500240.470540045, 85227
771,500249.44572148414, 85334
772,500209.46527282393, 85440
773,500274.9888343415, 85541
774,500263.1480705295, 85650
775,500328.3646852108, 85754
776,500343.18615243677, 85862
777,500365.32835917064, 85967
778,500309.59671046707, 86073
779,500315.3928998342, 86181
780,500306.4766562689, 86289
781,500382.4330585505, 86392
782,500332.0710490263, 86497
783,500274.5146609378, 86605
784,500315.4082961903, 86725
785,500394.8227573628, 86830
786,500374.0097323601, 86942
787,500403.3913436216, 87048
788,500424.97824678215, 87154
789,500459.10520171066, 87266
790,500518.20006083575, 87377
791,500553.44751332264, 87490
792,500535.46841380006, 87598
793,500561.0028534993, 87703
794,500534.9246289454, 87816
795,500521.9233259027, 87925
796,500500.40101382375, 88039
797,500437.915541262, 88146
798,500465.75050501246, 88255
799,500425.02185436274, 88362
800,500388.1560431033, 88469
801,500435.5085186435, 88577
802,500403.0818217001, 88681
803,500452.0975174873, 88789
804,500499.5547876116, 88900
805,500523.78147037973, 89003
806,500603.71609048336, 89105
807,500614.10978771973, 89207
808,500580.75823100086, 89316
809,500602.976844346, 89423
810,500627.6542317153, 89525
811,500619.30436661275, 89635
812,500616.89651175693, 89737
813,500652.8327729954, 89850
814,500650.0011069974, 89961
815,500661.2768024963, 90071
816,500600.63314560556, 90179
817,500581.9552333917, 90284
818,500573.9138443838, 90385
819,500569.58005403355, 90495
820,500545.0188642385, 90599
821,500540.38699528057, 90706
822,500498.6368010134, 90811
823,500503.8739431394, 90914
824,500550.91659882624, 91019
825,500599.92483100935, 91122
826,500654.7029732973, 91228
827,500695.34895461315, 91331
828,500685.18864342634, 91437
829,500669.83230878855, 91540
830,500666.79037647316, 91652
831,500701.7786894134, 91757
832,500673.45607152744, 91860
833,500684.4274708237, 91964
834,500669.73245219147, 92075
835,500693.6001246988, 92180
836,500731.6744110849, 92296
837,500703.4066936998, 92404
838,500662.5750349458, 92511
839,500655.3612486725, 92617
840,500625.4937128282, 92723
841,500580.22769967024, 92838
842,500557.4417307761, 92945
843,500538.53779646324, 93050
844,500565.1105206344, 93157
845,500568.6517576806, 93263
846,500566.76480751706, 93367
847,500580.09113367455, 93472
848,500579.64669838606, 93582
849,500613.72111177933, 93690
850,500598.3972155805, 93797
