Buildfile: /home/chamod/Softwares/wso2/wso2das-3.1.0/samples/cep/consumers/wso2-event-consumer/build.xml

init:

compile:
    [javac] /home/chamod/Softwares/wso2/wso2das-3.1.0/samples/cep/consumers/wso2-event-consumer/build.xml:87: warning: 'includeantruntime' was not set, defaulting to build.sysclasspath=last; set to false for repeatable builds
    [javac] Compiling 1 source file to /home/chamod/Softwares/wso2/wso2das-3.1.0/samples/cep/consumers/wso2-event-consumer/temp/classes
     [copy] Copying 1 file to /home/chamod/Softwares/wso2/wso2das-3.1.0/samples/cep/consumers/wso2-event-consumer/temp/classes

run:
     [echo] Configure optionally use -DelapsedCount=xxxx -Dprotocol='thrift/binary' -Dhost=xxxx -Dport=xxxx
     [echo]             -DcalcType='throughput/latency'
     [echo]         
     [java] Shutdown hook added.
     [java] PUNCTUATION SERVER started................
     [java] Unable to determine dialect of the StAX implementation at jar:file:/home/chamod/Softwares/wso2/wso2das-3.1.0/repository/components/plugins/axiom_1.2.11.wso2v11.jar!/
     [java] SLF4J: Class path contains multiple SLF4J bindings.
     [java] SLF4J: Found binding in [jar:file:/home/chamod/Softwares/wso2/wso2das-3.1.0/repository/components/plugins/slf4j.log4j12_1.7.13.jar!/org/slf4j/impl/StaticLoggerBinder.class]
     [java] SLF4J: Found binding in [jar:file:/home/chamod/Softwares/wso2/wso2das-3.1.0/repository/components/plugins/slf4j.log4j12_1.7.21.jar!/org/slf4j/impl/StaticLoggerBinder.class]
     [java] SLF4J: See http://www.slf4j.org/codes.html#multiple_bindings for an explanation.
     [java] Thrift Server started at localhost
     [java] Thrift SSL port : 7761
     [java] Thrift port : 7661
     [java] Test Server Started
     [java] user admin connected
     [java] Event: count : 162, maxHumidity : 987150, timeSpent : 17646
     [java] Event: count : 163, maxHumidity : 987150, timeSpent : 17755
     [java] Event: count : 164, maxHumidity : 987150, timeSpent : 17866
     [java] Event: count : 165, maxHumidity : 987150, timeSpent : 17977
     [java] Event: count : 166, maxHumidity : 987150, timeSpent : 18089
     [java] Event: count : 167, maxHumidity : 987150, timeSpent : 18200
     [java] Event: count : 168, maxHumidity : 987150, timeSpent : 18311
     [java] Event: count : 169, maxHumidity : 987150, timeSpent : 18422
     [java] Event: count : 170, maxHumidity : 987150, timeSpent : 18534
     [java] Event: count : 171, maxHumidity : 987150, timeSpent : 18651
     [java] Event: count : 172, maxHumidity : 987150, timeSpent : 18768
     [java] Event: count : 173, maxHumidity : 987150, timeSpent : 18886
     [java] Event: count : 174, maxHumidity : 987150, timeSpent : 19002
     [java] Event: count : 175, maxHumidity : 987150, timeSpent : 19118
     [java] Event: count : 176, maxHumidity : 987150, timeSpent : 19229
     [java] Event: count : 177, maxHumidity : 987150, timeSpent : 19340
     [java] Event: count : 178, maxHumidity : 987150, timeSpent : 19451
     [java] Event: count : 179, maxHumidity : 987150, timeSpent : 19562
     [java] Event: count : 180, maxHumidity : 987150, timeSpent : 19674
     [java] Event: count : 181, maxHumidity : 987150, timeSpent : 19786
     [java] Event: count : 182, maxHumidity : 987150, timeSpent : 19896
     [java] Event: count : 183, maxHumidity : 987150, timeSpent : 20010
     [java] Event: count : 184, maxHumidity : 987150, timeSpent : 20127
     [java] Event: count : 185, maxHumidity : 987150, timeSpent : 20243
     [java] Event: count : 186, maxHumidity : 987150, timeSpent : 20363
     [java] Event: count : 187, maxHumidity : 987150, timeSpent : 20481
